タスク名,ステータス,期限,優先度,担当者,チーム,タグ,プロジェクト,親タスク,サブタスク
ゲームコンセプトの確立,未着手,2024/07/10,高,全員,全体,,,,
フロントエンドの設計,未着手,,中,"上野(そた), 宮井, 楠城, 河口",プログラミング,,,,UI (https://www.notion.so/UI-be389ef9bd3045d0b2a15b930238fd89?pvs=21)
バックエンドの設計,未着手,,中,"上野(ゆづき), 千葉, 河口",プログラミング,,,,サーバー (https://www.notion.so/33579d75c2b2487284b24af8ae547405?pvs=21)
ドットステージの設計,未着手,,中,未定,ブレンダー,,,,
2Dステージの設計,未着手,,中,"今野, 生田, 秋山",ブレンダー,,,,
3Dステージの設計,未着手,,低,"今野, 生田, 秋山",ブレンダー,,,,
ドット絵キャラのデザイン,未着手,,中,楠城,デザイン,,,,
2Dキャラのデザイン,未着手,,中,"森井, 西田",デザイン,,,,
3Dキャラのデザイン,未着手,,低,"森井, 西田",デザイン,,,,
音楽と効果音の設計,未着手,,中,上野(ゆづき),,,,,
テストとデバッグ,未着手,,低,,,,,,
リリース準備,未着手,,低,,,,,,
正式リリース,未着手,,低,,,,,,
サーバー,未着手,,,,,,,バックエンドの設計 (https://www.notion.so/525446ea185747fcb51bae9a2d0612e5?pvs=21),
UI,未着手,,,,,,,フロントエンドの設計 (https://www.notion.so/6d761ee5a0ee489cb8cd6fa7e30bfe78?pvs=21),
